,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.4748201438848921,0.4748201438848921,0.4748201438848921,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.6,0.6,0.6
Logit,0.4659090909090909,0.24528301886792456,0.38461538461538464,0.4880952380952381,0.15476190476190477,0.5357142857142857,0.44565217391304346,0.5909090909090909,0.3
RF,0.10869565217391304,0.23529411764705882,0.22222222222222224,0.05952380952380952,0.14285714285714285,0.14285714285714285,0.625,0.6666666666666666,0.5
SVM,0.10869565217391304,0.022727272727272724,0.04597701149425287,0.05952380952380952,0.011904761904761904,0.023809523809523808,0.625,0.25,0.6666666666666666
