,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.26229508196721313,0.26229508196721313,0.26229508196721313,0.16494845360824742,0.16494845360824742,0.16494845360824742,0.64,0.64,0.64
Logit,0.37499999999999994,0.038461538461538464,0.3644067796610169,0.4020618556701031,0.020618556701030927,0.44329896907216493,0.35135135135135137,0.2857142857142857,0.30935251798561153
RF,0.16071428571428573,0.09523809523809522,0.19469026548672566,0.09278350515463918,0.05154639175257732,0.1134020618556701,0.6,0.625,0.6875
SVM,0.16071428571428573,0.07207207207207207,0.09433962264150943,0.09278350515463918,0.041237113402061855,0.05154639175257732,0.6,0.2857142857142857,0.5555555555555556
