,total_tweets,local_tweets,other_tweets,neighbor_tweets,medhval00,pop00,total_users,userwith5_count,medrent00,popden00,per_rent_00,pag25up00,other_weekend_oddratio,other_daytime_oddratio,other_nighttime_oddratio,other_weekday_oddratio,pernwh00,weekday_oddratio,nighttime_oddratio,visitorpercentage,daytime_oddratio,weekend_oddratio,phisp00,localpercentage,percol00,pnhblk00,local_weekday_oddratio,local_nighttime_oddratio,TOD,local_daytime_oddratio,Wednesday_oddratio,Monday_oddratio,Sunday_oddratio,Saturday_oddratio,nbrpercentage,local_weekend_oddratio,Tuesday_oddratio,Thursday_oddratio,Friday_oddratio,pasian00,neighbor_nighttime_oddratio,neighbor_weekday_oddratio,neighbor_weekend_oddratio,neighbor_daytime_oddratio,distToHighVisitorTract,distToMHI,distToHighTweetTract,carcommuters_00,unempden00,hinc00
Logit_Raw,-2.5733544615265438e-05,-1.3082860498863715e-05,-9.65932751131418e-06,-2.991356605087651e-06,-2.5221778779368823e-06,-2.0525134970403624e-06,-1.858755615606873e-06,-3.987357192325163e-07,-1.0788487344177386e-07,-2.1819868943430356e-08,-7.895616662776431e-10,-4.731087364717397e-10,-4.726756226967977e-10,-4.696450859269848e-10,-4.285722069381974e-10,-4.255416701683904e-10,-4.17777758048239e-10,-3.4107854289668723e-10,-3.1621296458815645e-10,-3.0433918289907673e-10,-2.7765456616528654e-10,-2.527889878567529e-10,-2.2759235344437406e-10,-2.0489944710106269e-10,-1.567671443717129e-10,-1.23445470033293e-10,-1.2144098582494693e-10,-1.1556822021482266e-10,-9.176931027502668e-11,-8.93312268862387e-11,-8.849109102975503e-11,-8.821265974200492e-11,-8.630024473001257e-11,-8.616837567701614e-11,-8.463947996596767e-11,-8.34584612761156e-11,-8.302941032553294e-11,-8.134538179939894e-11,-8.03203674497282e-11,-5.3453531779509945e-11,-4.973768281308311e-11,-4.689545397276975e-11,-3.77440259931976e-11,-3.4901797152884665e-11,-3.631082030236691e-12,-3.474740931849477e-12,-5.901516480104242e-13,2.0907022069414705e-10,2.4589986891540296e-08,9.61602082117216e-07
DT_Raw,0.0,0.0,0.0,0.0,0.0,0.0,0.045633796047980235,0.0,0.0,0.08172282216174653,0.5675077772769046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06440016534222648,0.0,0.0261871445806766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21454829459046545,0.0,0.0
RF_Raw,0.0,0.0,0.0,0.0,0.0,0.0,0.045633796047980235,0.0,0.0,0.08172282216174653,0.5675077772769046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06440016534222648,0.0,0.0261871445806766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21454829459046545,0.0,0.0
SVM_Raw,-2.355714462206802,-4.2001177689043665,1.3471011088749811,-2.488064828532929,1.9759612636859958,0.10437949200498732,0.7243338080096158,2.6552916585126067,1.694089948068843,-2.194898597957988,-6.18354196867338,-11.652930582190786,4.479767573849992,3.3942323479045635,4.362162220927706,1.6554241144553976,-3.958810938195603,-6.582988560636493,-5.2532765116969635,1.907575677231503,-4.481053846824476,-5.0079030751938856,4.652010177417631,4.256815881950014,-0.08513734506780765,3.7035943914201015,3.4919532918565896,3.189816581698345,0.6975614734610188,2.746561151527935,-3.855827171278189,-4.116237606695634,-4.226431661580559,-2.8744182850043485,2.480390297956169,3.8966479036605155,-3.2740761543211883,-2.2456563263118037,-3.33314842173372,4.339469490159087,1.1686440181305642,4.128298004340943,-0.3402299316440217,3.373260303805805,-0.6356391117651543,-2.2922578392257633,-1.5274334840297112,3.1924233666174624,1.1979292632371161,-5.349905038101198
Logit_Scaled,-0.1772882796670451,-0.3315515379748507,0.09953830654644813,-0.2541792307355849,0.24197511353402684,0.007857039630426088,0.05946764899742375,0.20112589779155382,0.24488805006755382,-0.3245488384555103,-1.6386774028451216,-1.2312700915746322,0.1287775866503933,-0.08151389232462987,-0.00131978770376895,-0.1678993280755709,-1.300958879807367,-0.5233326639123118,-0.4124532571857776,-0.043016528310132654,-0.33544752268714284,-0.49205926999849403,1.0549716664848228,0.03669339071725471,-0.012813159878098437,1.1503159836106924,0.08538315283566021,0.03689442548853166,0.270078529912247,0.030124349075608646,-0.4504423397013889,-0.3839992829815071,-0.40978478306091176,-0.2726803192376219,0.005278149641053899,-0.03162697486859998,-0.23332222610349407,-0.26861457669522354,-0.24590232516260732,0.5616002694848763,-0.1057883504100241,0.1765824418215192,-0.23471399310092403,0.11321759935180689,-0.07537084926138221,-0.3591286910137014,-0.1834113870276606,0.9058019755659545,0.05529372495945171,-0.6795945925241587
DT_Scaled,0.0,0.0,0.0,0.0,0.0,0.0,0.045633796047980235,0.0,0.0,0.08172282216174653,0.5675077772769046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06440016534222648,0.0,0.0261871445806766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21454829459046545,0.0,0.0
RF_Scaled,0.0,0.0,0.0,0.0,0.0,0.0,0.045633796047980235,0.0,0.0,0.08172282216174653,0.5675077772769046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06440016534222648,0.0,0.0261871445806766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21454829459046545,0.0,0.0
SVM_Scaled,-2.355714462206802,-4.2001177689043665,1.3471011088749811,-2.488064828532929,1.9759612636859958,0.10437949200498732,0.7243338080096158,2.6552916585126067,1.694089948068843,-2.194898597957988,-6.18354196867338,-11.652930582190786,4.479767573849992,3.3942323479045635,4.362162220927706,1.6554241144553976,-3.958810938195603,-6.582988560636493,-5.2532765116969635,1.907575677231503,-4.481053846824476,-5.0079030751938856,4.652010177417631,4.256815881950014,-0.08513734506780765,3.7035943914201015,3.4919532918565896,3.189816581698345,0.6975614734610188,2.746561151527935,-3.855827171278189,-4.116237606695634,-4.226431661580559,-2.8744182850043485,2.480390297956169,3.8966479036605155,-3.2740761543211883,-2.2456563263118037,-3.33314842173372,4.339469490159087,1.1686440181305642,4.128298004340943,-0.3402299316440217,3.373260303805805,-0.6356391117651543,-2.2922578392257633,-1.5274334840297112,3.1924233666174624,1.1979292632371161,-5.349905038101198
Logit_Minmaxed,-2.355714462206802,-4.2001177689043665,1.3471011088749811,-2.488064828532929,1.9759612636859958,0.10437949200498732,0.7243338080096158,2.6552916585126067,1.694089948068843,-2.194898597957988,-6.18354196867338,-11.652930582190786,4.479767573849992,3.3942323479045635,4.362162220927706,1.6554241144553976,-3.958810938195603,-6.582988560636493,-5.2532765116969635,1.907575677231503,-4.481053846824476,-5.0079030751938856,4.652010177417631,4.256815881950014,-0.08513734506780765,3.7035943914201015,3.4919532918565896,3.189816581698345,0.6975614734610188,2.746561151527935,-3.855827171278189,-4.116237606695634,-4.226431661580559,-2.8744182850043485,2.480390297956169,3.8966479036605155,-3.2740761543211883,-2.2456563263118037,-3.33314842173372,4.339469490159087,1.1686440181305642,4.128298004340943,-0.3402299316440217,3.373260303805805,-0.6356391117651543,-2.2922578392257633,-1.5274334840297112,3.1924233666174624,1.1979292632371161,-5.349905038101198
DT_Minmaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.045633796047980235,0.0,0.0,0.08172282216174653,0.5675077772769046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06440016534222648,0.0,0.0261871445806766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21454829459046545,0.0,0.0
