,hinc00,local_tweets,pop00,medrent00,popden00,localpercentage,percol00,carcommuters_00,pag25up00,local_weekday_oddratio,local_nighttime_oddratio,weekday_oddratio,local_daytime_oddratio,pasian00,local_weekend_oddratio,nighttime_oddratio,daytime_oddratio,other_weekend_oddratio,other_daytime_oddratio,weekend_oddratio,Tuesday_oddratio,Monday_oddratio,Wednesday_oddratio,other_nighttime_oddratio,Thursday_oddratio,Friday_oddratio,distToHighVisitorTract,Sunday_oddratio,other_weekday_oddratio,nbrpercentage,neighbor_weekday_oddratio,Saturday_oddratio,neighbor_daytime_oddratio,distToHighTweetTract,neighbor_nighttime_oddratio,neighbor_weekend_oddratio,distToMHI,pnhblk00,visitorpercentage,per_rent_00,pernwh00,phisp00,TOD,unempden00,neighbor_tweets,userwith5_count,total_users,medhval00,total_tweets,other_tweets
Logit_Raw,-5.552108587080694e-05,-4.2915419325852764e-06,-2.115753372431263e-06,-5.015885032693084e-07,-1.865813640194419e-09,-4.1221856566696914e-10,-3.125204437006086e-10,-3.1006740702878646e-10,-3.1005177742303135e-10,-2.5742201307758765e-10,-2.3260968048279367e-10,-2.2022055164187745e-10,-1.7960888518417446e-10,-1.6411481323229343e-10,-1.5479655258938244e-10,-1.5169018548417287e-10,-1.4317050398650208e-10,-1.3627178622385776e-10,-1.0310204168221997e-10,-7.464013782879623e-11,-6.487168129972433e-11,-6.033758974123314e-11,-5.5052127480964077e-11,-5.4591216971736686e-11,-3.9959153119955147e-11,-3.5463147084845564e-11,-2.5248824928400445e-11,-2.286340005122264e-11,-2.1421472430096914e-11,-2.0612214446306488e-11,-1.6418533875931742e-11,-1.631359069272715e-11,-1.2551092517219556e-11,-1.2000033425328174e-11,-8.061121929087526e-12,-4.193680570375433e-12,-3.632130950939145e-12,7.293351892154478e-11,1.3756876072965985e-10,1.6511625298540507e-10,1.8131728087746439e-10,2.522793601266575e-10,4.646747376021825e-10,6.000396237592357e-08,3.944769171806473e-07,4.3595888153390965e-07,2.3151224856233114e-06,2.9915298616143783e-06,3.0378596184440414e-06,6.934924633848694e-06
DT_Raw,0.0,0.0,0.0,0.0,0.0,0.0,0.7389490221946945,0.18753469444967813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889352193679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01462276141883026
RF_Raw,0.0,0.0,0.0,0.01462276141883026,0.0,0.0,0.7159921886881985,0.18753469444967813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889352193679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022956833506495983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Raw,-0.5795039695524835,8.799747728263862,-3.014422628545279,-0.6191602612194154,-0.3379708512139926,-5.529846905687858,-38.95479629185674,-3.2656126782069976,3.1348082223547817,-5.9458052599259235,-5.288906624034839,10.81161319501435,-2.479208070515457,-2.582271699512973,-3.478172317954194,10.766633032183506,6.820761127793677,-6.334584498948159,-6.314501904424572,9.736496893657364,6.572913237706252,4.776878996529403,3.863316151482861,-3.514334659295716,7.658009983961814,4.639154896880323,-1.613703591102872,7.642488428468955,-1.4466222783772633,-3.903199941639178,-4.879958480317573,7.692222038262084,-3.6202571840941715,-2.010343348867258,-3.6536916832953974,-1.5648151358095859,-4.608446900264486,0.18756252646932695,-2.233237129059989,1.8090512877735987,-0.6631783984778918,-1.1458646899923703,0.541617288845886,3.644899823548814,5.951261767247292,32.73229453367004,8.48837413964146,2.0511714429597703,-9.732072686843098,-32.57227210954917
Logit_Scaled,-0.06697740115490776,0.7095593782528276,-0.2301830979793974,-0.09240907947408437,-0.05261878666779658,-0.07698506294444171,-5.990616503015509,-0.9260909189006954,0.33137695288926655,-0.2979504277360216,-0.247183858973574,1.1510815823368543,0.13365798111186264,-0.3298696321330268,0.2269253251852783,1.0970561150849671,0.7037862766897579,-0.2916185606919783,-0.119773426163993,1.2940294867831614,0.6377505745416562,0.646040382453899,0.656885584627901,0.2885080736467161,1.0122445841976737,0.4838121361465946,-0.19458297964310042,0.9656789398222524,0.4047636167403203,-0.06347139218925453,-0.18357417249825866,0.9385174556176701,-0.057119185505185695,-0.23976713843167657,-0.062495489319916386,0.10898838905326903,-0.724538930871142,0.06893038619840394,0.1121031734606059,0.4821353115372793,-0.22970008950440718,-0.2558510618784255,0.20871842952508726,0.16972097819386772,0.61498824413184,2.4282618680503276,0.7581657352105332,0.2526481941326162,-0.8830008640327003,-2.7683656280897515
DT_Scaled,0.01462276141883026,0.0,0.0,0.0,0.0,0.0,0.7389490221946945,0.18753469444967813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889352193679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Scaled,0.0,0.0,0.0,0.01462276141883026,0.0,0.0,0.7159921886881985,0.18753469444967813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889352193679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022956833506495983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Scaled,-0.5795039695524835,8.799747728263862,-3.014422628545279,-0.6191602612194154,-0.3379708512139926,-5.529846905687858,-38.95479629185674,-3.2656126782069976,3.1348082223547817,-5.9458052599259235,-5.288906624034839,10.81161319501435,-2.479208070515457,-2.582271699512973,-3.478172317954194,10.766633032183506,6.820761127793677,-6.334584498948159,-6.314501904424572,9.736496893657364,6.572913237706252,4.776878996529403,3.863316151482861,-3.514334659295716,7.658009983961814,4.639154896880323,-1.613703591102872,7.642488428468955,-1.4466222783772633,-3.903199941639178,-4.879958480317573,7.692222038262084,-3.6202571840941715,-2.010343348867258,-3.6536916832953974,-1.5648151358095859,-4.608446900264486,0.18756252646932695,-2.233237129059989,1.8090512877735987,-0.6631783984778918,-1.1458646899923703,0.541617288845886,3.644899823548814,5.951261767247292,32.73229453367004,8.48837413964146,2.0511714429597703,-9.732072686843098,-32.57227210954917
Logit_Minmaxed,-0.5795039695524835,8.799747728263862,-3.014422628545279,-0.6191602612194154,-0.3379708512139926,-5.529846905687858,-38.95479629185674,-3.2656126782069976,3.1348082223547817,-5.9458052599259235,-5.288906624034839,10.81161319501435,-2.479208070515457,-2.582271699512973,-3.478172317954194,10.766633032183506,6.820761127793677,-6.334584498948159,-6.314501904424572,9.736496893657364,6.572913237706252,4.776878996529403,3.863316151482861,-3.514334659295716,7.658009983961814,4.639154896880323,-1.613703591102872,7.642488428468955,-1.4466222783772633,-3.903199941639178,-4.879958480317573,7.692222038262084,-3.6202571840941715,-2.010343348867258,-3.6536916832953974,-1.5648151358095859,-4.608446900264486,0.18756252646932695,-2.233237129059989,1.8090512877735987,-0.6631783984778918,-1.1458646899923703,0.541617288845886,3.644899823548814,5.951261767247292,32.73229453367004,8.48837413964146,2.0511714429597703,-9.732072686843098,-32.57227210954917
DT_Minmaxed,0.0,0.0,0.0,0.01462276141883026,0.0,0.0,0.7159921886881985,0.18753469444967813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889352193679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022956833506495983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Minmaxed,0.0,0.0,0.0,0.01462276141883026,0.0,0.0,0.7159921886881985,0.18753469444967813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889352193679705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022956833506495983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Minmaxed,-0.5795039695524835,8.799747728263862,-3.014422628545279,-0.6191602612194154,-0.3379708512139926,-5.529846905687858,-38.95479629185674,-3.2656126782069976,3.1348082223547817,-5.9458052599259235,-5.288906624034839,10.81161319501435,-2.479208070515457,-2.582271699512973,-3.478172317954194,10.766633032183506,6.820761127793677,-6.334584498948159,-6.314501904424572,9.736496893657364,6.572913237706252,4.776878996529403,3.863316151482861,-3.514334659295716,7.658009983961814,4.639154896880323,-1.613703591102872,7.642488428468955,-1.4466222783772633,-3.903199941639178,-4.879958480317573,7.692222038262084,-3.6202571840941715,-2.010343348867258,-3.6536916832953974,-1.5648151358095859,-4.608446900264486,0.18756252646932695,-2.233237129059989,1.8090512877735987,-0.6631783984778918,-1.1458646899923703,0.541617288845886,3.644899823548814,5.951261767247292,32.73229453367004,8.48837413964146,2.0511714429597703,-9.732072686843098,-32.57227210954917
