,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.2537313432835821,0.2537313432835821,0.2537313432835821,0.17708333333333334,0.17708333333333334,0.17708333333333334,0.4473684210526316,0.4473684210526316,0.4473684210526316
Logit,0.32352941176470584,0.22764227642276424,0.32352941176470584,0.22916666666666666,0.14583333333333334,0.22916666666666666,0.55,0.5185185185185185,0.55
RF,0.06060606060606061,0.020618556701030924,0.020618556701030924,0.03125,0.010416666666666666,0.010416666666666666,1.0,1.0,1.0
SVM,0.06060606060606061,0.0,0.19130434782608693,0.03125,0.0,0.11458333333333333,1.0,0.0,0.5789473684210527
