,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.36486486486486486,0.36486486486486486,0.36486486486486486,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.5869565217391305,0.5869565217391305,0.5869565217391305
Logit,0.3608247422680413,0.05714285714285715,0.34375,0.3431372549019608,0.029411764705882353,0.43137254901960786,0.3804347826086957,1.0,0.2857142857142857
RF,0.1724137931034483,0.0,0.05555555555555555,0.09803921568627451,0.0,0.029411764705882353,0.7142857142857143,0.0,0.5
SVM,0.1724137931034483,0.019047619047619046,0.12173913043478261,0.09803921568627451,0.00980392156862745,0.06862745098039216,0.7142857142857143,0.3333333333333333,0.5384615384615384
