,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.5939393939393939,0.5939393939393939,0.5939393939393939,0.5212765957446809,0.5212765957446809,0.5212765957446809,0.6901408450704225,0.6901408450704225,0.6901408450704225
Logit,0.4347826086956522,0.1415929203539823,0.36363636363636365,0.4787234042553192,0.0851063829787234,0.5531914893617021,0.39823008849557523,0.42105263157894735,0.2708333333333333
RF,0.4148148148148148,0.33613445378151263,0.36065573770491804,0.2978723404255319,0.2127659574468085,0.23404255319148937,0.6829268292682927,0.8,0.7857142857142857
SVM,0.4148148148148148,0.11428571428571427,0.18867924528301885,0.2978723404255319,0.06382978723404255,0.10638297872340426,0.6829268292682927,0.5454545454545454,0.8333333333333334
