,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.4819277108433735,0.4819277108433735,0.4819277108433735,0.4195804195804196,0.4195804195804196,0.4195804195804196,0.5660377358490566,0.5660377358490566,0.5660377358490566
Logit,0.38644067796610176,0.2459893048128342,0.36578171091445427,0.3986013986013986,0.16083916083916083,0.43356643356643354,0.375,0.5227272727272727,0.3163265306122449
RF,0.4131455399061033,0.37185929648241206,0.40566037735849053,0.3076923076923077,0.25874125874125875,0.3006993006993007,0.6285714285714286,0.6607142857142857,0.6231884057971014
SVM,0.4131455399061033,0.4874551971326165,0.31999999999999995,0.3076923076923077,0.4755244755244755,0.22377622377622378,0.6285714285714286,0.5,0.5614035087719298
