,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.23448275862068968,0.2222222222222222,0.2222222222222222,0.1504424778761062,0.1415929203539823,0.1415929203539823,0.53125,0.5161290322580645,0.5161290322580645
Logit,0.28044280442804426,0.0,0.2848101265822785,0.336283185840708,0.0,0.39823008849557523,0.24050632911392406,0.0,0.22167487684729065
RF,0.034782608695652174,0.0,0.0,0.017699115044247787,0.0,0.0,1.0,0.0,0.0
SVM,0.034782608695652174,0.0,0.033333333333333326,0.017699115044247787,0.0,0.017699115044247787,1.0,0.0,0.2857142857142857
