,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.12371134020618557,0.12371134020618557,0.12371134020618557,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.46153846153846156,0.46153846153846156,0.46153846153846156
Logit,0.29292929292929293,0.06451612903225806,0.3263598326359832,0.34523809523809523,0.03571428571428571,0.4642857142857143,0.2543859649122807,0.3333333333333333,0.25161290322580643
RF,0.14583333333333331,0.23300970873786409,0.08791208791208789,0.08333333333333333,0.14285714285714285,0.047619047619047616,0.5833333333333334,0.631578947368421,0.5714285714285714
SVM,0.14583333333333331,0.023529411764705882,0.08695652173913042,0.08333333333333333,0.011904761904761904,0.047619047619047616,0.5833333333333334,1.0,0.5
