,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.519774011299435,0.519774011299435,0.519774011299435,0.5168539325842697,0.5168539325842697,0.5168539325842697,0.5227272727272727,0.5227272727272727,0.5227272727272727
Logit,0.38709677419354843,0.15238095238095237,0.36363636363636365,0.33707865168539325,0.0898876404494382,0.3595505617977528,0.45454545454545453,0.5,0.367816091954023
RF,0.12631578947368421,0.18181818181818182,0.06521739130434782,0.06741573033707865,0.10112359550561797,0.033707865168539325,1.0,0.9,1.0
SVM,0.12631578947368421,0.0,0.5464480874316939,0.06741573033707865,0.0,0.5617977528089888,1.0,0.0,0.5319148936170213
