,TRTID10,state,county,tract,placefp10,cbsa10,metdiv10,ccflag10,POP00SF3,RUANC00,ITANC00,GEANC00,IRANC00,SCANC00,RUFB00,ITFB00,GEFB00,IRFB00,SCFB00,FB00,NAT00,N10IMM00,AG5UP00,OLANG00,LEP00,AG25UP00,HS00,COL00,AG15UP00,Mar-00,WDS00,CLF00,UNEMP00,DFLABF00,FLABF00,EMPCLF00,PROF00,MANUF00,SEMP00,AG18CV00,VET00,CNI16U00,DIS00,DPOV00,NPOV00,N65POV00,DFMPOV00,NFMPOV00,DWPOV00,NWPOV00,DBPOV00,NBPOV00,DNAPOV00,NNAPOV00,DHPOV00,NHPOV00,DAPOV00,NAPOV00,INCPC00,HU00SP,H30OLD00,OHU00SP,H10YRS00,DMULTI00,MULTI00,HINC00,HINCW00,HINCB00,HINCH00,HINCA00,MHMVAL00,MRENT00,HH00,HHW00,HHB00,HHH00,HHA00,geoid
12845,9001010900,CT,Fairfield County,Census Tract 109,64530,14860,99999,0,4812.0,145.0,925.0,347.0,565.0,166.0,39.0,62.0,13.0,33.0,25.0,991.0,362.0,496.0,4429.0,939.0,135.0,3436.0,951.0,1820.0,3738.0,2260.0,727.0,2452.0,89.0,1969.0,1171.0,2363.0,1304.0,176.0,372.0,3592.0,378.0,2957.0,241.0,4796.0,186.0,38.0,1325.0,22.0,3923.0,172.0,71.0,0.0,0.0,0.0,254.0,14.0,503.0,0.0,49144.0,1949.0,1470.0,1873.0,1015.0,1949.0,435.0,88402,88668,31000,45875,126136.3636,414400,1639,1881.0,1647.0,26.0,71.0,133.0,9001010900
12846,9001011000,CT,Fairfield County,Census Tract 110,56900,14860,99999,0,5143.0,159.0,662.0,447.0,920.0,117.0,0.0,21.0,103.0,0.0,8.0,621.0,204.0,328.0,4634.0,657.0,9.0,3404.0,423.0,2583.0,3684.0,2699.0,451.0,2321.0,34.0,1915.0,878.0,2287.0,1536.0,169.0,488.0,3519.0,440.0,2966.0,198.0,5143.0,192.0,0.0,1455.0,39.0,4674.0,119.0,46.0,0.0,11.0,0.0,145.0,0.0,260.0,73.0,76732.0,1887.0,1356.0,1821.0,1110.0,1887.0,216.0,136052,137483,127308,153612,88194.44444,787000,2001,1834.0,1689.0,8.0,47.0,83.0,9001011000
12847,9001011100,CT,Fairfield County,Census Tract 111,64530,14860,99999,0,4621.0,79.0,401.0,286.0,631.0,270.0,10.0,43.0,62.0,31.0,73.0,650.0,336.0,225.0,4160.0,677.0,67.0,2908.0,281.0,2278.0,3200.0,2443.0,304.0,1873.0,72.0,1659.0,714.0,1801.0,1152.0,144.0,350.0,3029.0,403.0,2546.0,165.0,4619.0,64.0,16.0,1268.0,7.0,4206.0,64.0,0.0,0.0,0.0,0.0,154.0,0.0,200.0,0.0,78370.0,1594.0,1311.0,1531.0,850.0,1594.0,105.0,162269,160319, ,99370,222413.7931,994600,1525,1520.0,1403.0,0.0,45.0,45.0,9001011100
12848,9001011200,CT,Fairfield County,Census Tract 112,33690,14860,99999,0,1692.0,39.0,198.0,58.0,228.0,61.0,0.0,4.0,11.0,0.0,20.0,281.0,79.0,122.0,1606.0,247.0,17.0,1208.0,170.0,785.0,1340.0,875.0,174.0,718.0,30.0,715.0,267.0,688.0,452.0,35.0,194.0,1251.0,146.0,1103.0,120.0,1692.0,110.0,7.0,447.0,20.0,1558.0,79.0,21.0,0.0,0.0,0.0,98.0,16.0,15.0,15.0,112689.0,779.0,564.0,659.0,493.0,779.0,215.0,179570,187038, ,76417, ,1000001,1515,627.0,604.0,0.0,23.0,0.0,9001011200
12849,9001011300,CT,Fairfield County,Census Tract 113,10660,14860,99999,0,2960.0,35.0,501.0,119.0,330.0,103.0,13.0,38.0,7.0,9.0,6.0,909.0,325.0,445.0,2793.0,929.0,299.0,2124.0,802.0,873.0,2436.0,1297.0,435.0,1686.0,69.0,1240.0,743.0,1617.0,602.0,75.0,213.0,2335.0,232.0,2005.0,391.0,2960.0,201.0,25.0,724.0,13.0,2154.0,94.0,82.0,0.0,0.0,0.0,569.0,107.0,101.0,0.0,34867.0,1251.0,1013.0,1179.0,755.0,1251.0,671.0,61394,65667,96037,45114,100000,368900,1142,1179.0,960.0,26.0,163.0,18.0,9001011300
12850,9001020100,CT,Fairfield County,Census Tract 201,73000,14860,99999,1,3890.8292479999996,97.03817442,268.0882457,85.03621341,122.0810553,34.00954361,96.01072021,10.00653672,8.002614686,0.010850948000000001,10.00797479,1665.3335029999998,611.1077251,990.2079982999999,3765.792904,1832.303173,516.0570002000001,2985.63916,1560.167994,890.3766456000001,3468.732374,1311.286308,710.137794,2073.571832,139.0217019,1633.360435,846.2635604000001,1934.55013,592.30801,182.06105290000002,133.0271927,3335.717208,178.0341217,2637.644128,734.1235439,3878.821796,834.0598762999999,206.0049679,727.1724386,48.00509864,1450.4526019999998,277.0253625,1057.087723,257.0060138,0.0,0.0,966.1264200999999,167.016734,245.1400165,45.00915139999999,21351.2954,1967.477442,988.2136198999999,1898.429462,1363.377299,1967.477442,1894.447504,27245.13055,32300.9619,15232.43814,43928.72437,38093.74853,137498.1131,481.1554269,1899.4280239999998,789.2719274,587.0335987000001,322.04627989999994,122.06745890000002,9001020100
12851,9001020200,CT,Fairfield County,Census Tract 202,73000,14860,99999,1,3715.0,289.0,425.0,261.0,334.0,102.0,14.0,43.0,0.0,0.0,14.0,473.0,312.0,80.0,3457.0,512.0,0.0,2587.0,479.0,1780.0,2774.0,2123.0,236.0,1772.0,33.0,1373.0,736.0,1739.0,1108.0,87.0,424.0,2695.0,274.0,2188.0,938.0,3629.0,158.0,23.0,1068.0,11.0,3122.0,158.0,189.0,0.0,0.0,0.0,144.0,0.0,113.0,0.0,57674.0,1326.0,910.0,1270.0,610.0,1326.0,0.0,115070,116580,105000,57679,158928.5714,576500,175,1225.0,1086.0,40.0,31.0,46.0,9001020200
12852,9001020300,CT,Fairfield County,Census Tract 203,73000,14860,99999,1,7275.0,316.0,1284.0,389.0,881.0,257.0,7.0,81.0,11.0,0.0,60.0,826.0,465.0,273.0,6637.0,767.0,23.0,5103.0,747.0,3584.0,5612.0,4264.0,462.0,3784.0,195.0,2861.0,1657.0,3589.0,2262.0,387.0,514.0,5385.0,739.0,4549.0,1168.0,7144.0,134.0,31.0,2141.0,19.0,6321.0,51.0,235.0,10.0,0.0,0.0,183.0,8.0,280.0,0.0,61164.0,2510.0,1765.0,2442.0,1435.0,2510.0,0.0,129289,132077,91285,200001,157500,564800,1081,2456.0,2197.0,105.0,39.0,81.0,9001020300
12853,9001020400,CT,Fairfield County,Census Tract 204,73000,14860,99999,1,3348.0,130.0,743.0,347.0,468.0,15.0,0.0,87.0,50.0,18.0,0.0,296.0,184.0,70.0,2986.0,404.0,0.0,2379.0,499.0,1559.0,2629.0,1895.0,362.0,1709.0,40.0,1407.0,793.0,1669.0,997.0,160.0,378.0,2537.0,328.0,2029.0,504.0,3348.0,91.0,0.0,1027.0,11.0,3055.0,91.0,64.0,0.0,0.0,0.0,62.0,0.0,23.0,0.0,54399.0,1261.0,951.0,1234.0,629.0,1261.0,0.0,104430,104471,136014,126012,42500,523400,1174,1197.0,1118.0,16.0,18.0,10.0,9001020400
12854,9001020500,CT,Fairfield County,Census Tract 205,73000,14860,99999,1,5107.0,208.0,1270.0,213.0,387.0,76.0,6.0,163.0,10.0,11.0,12.0,706.0,466.0,129.0,4763.0,869.0,67.0,3763.0,960.0,2111.0,4120.0,2770.0,618.0,2718.0,49.0,2123.0,1185.0,2669.0,1478.0,167.0,556.0,3964.0,512.0,3036.0,350.0,5016.0,120.0,15.0,1491.0,20.0,4450.0,103.0,100.0,9.0,0.0,0.0,159.0,8.0,201.0,0.0,55692.0,1792.0,1195.0,1750.0,899.0,1792.0,149.0,112051,111339,200001,93644,173437.5,488700,1620,1828.0,1655.0,23.0,37.0,59.0,9001020500
