,pop00,phisp00,pnhblk00,pasian00,popden00,unempden00,hinc00,mrent00,pag25up00
0,6683.181012,0.025386892019736904,0.004033874704514737,0.06523594975464057,7729905.907362048,96913.27341536779,105711.9486,1599.289479,0.6532951542327611
1,2183.0,0.025194686211635363,0.01694915254237288,0.19926706367384334,1230491.1298670613,15219.084061571531,130740,1597,0.700870361887311
2,4851.0,0.0474129045557617,0.011544011544011544,0.13543599257884972,7683607.719041547,90283.5786405624,74423,791,0.7146980004122861
3,5751.0,0.029907842114414884,0.012171796209354895,0.1950965049556599,7426918.332837466,139472.6447481214,92447,966,0.6781429316640585
4,5057.0,0.1613604904093336,0.05141388174807198,0.21099466086612617,38044645.63674437,857640.8152242156,65750,908,0.6984378089776547
5,4484.0,0.21743978590544158,0.06512042818911686,0.1764049955396967,33797345.70947556,670821.5361604204,46330,780,0.7013826940231935
6,6679.6407659999995,0.15480153158284385,0.056274520841499996,0.2127509011013782,34209727.16436884,578836.1359744886,69775.93661,926.7162373,0.6622681666530807
7,2536.0,0.125,0.04219242902208202,0.167192429022082,31406966.48853718,334380.16371865297,79032,950,0.6585548483713964
8,3393.0,0.11464780430297672,0.06926024167403477,0.23489537282640732,30154680.11064281,355492.83950065204,67000,949,0.6580724370779619
9,4101.0,0.22994391611802,0.14142891977566446,0.24408680809558644,26877058.734351035,701254.6414473448,51548,755,0.6900755913191905
10,3251.999895,0.2132379617127878,0.05709783216336788,0.08437386161108718,34801599.768412985,1290979.4523440085,59813.00135,745.0000238,0.6718389863293645
11,4997.000105,0.21323797250550589,0.05709783171997752,0.08437386472698503,38861656.31315632,1441588.842733157,59812.99912,744.9999845,0.671839026907525
12,5917.0,0.07993915835727565,0.012168328544870712,0.06405272942369444,5087158.202381568,93713.07149900134,55058,776,0.7277336488085179
13,6506.0,0.13618198585920688,0.011988933292345526,0.12573009529664925,79098275.20513119,2091131.7760963056,45272,822,0.74239163848755
14,4319.999987,0.1223850536553254,0.015549838148645346,0.14240967121558465,63511124.856661536,1229155.8922964016,50318.00036,732.9999985,0.8091509241942041
15,4619.000013,0.12238505481900719,0.01554983745352936,0.14240966017507567,130667000.9206781,2528850.1299051554,50317.99967,733.0000014,0.8091509000824937
16,7482.974354000001,0.2905316020277249,0.024596667032757275,0.10565987655394815,95186632.08556582,2278336.545670225,42253.00157,818.9999969,0.7033853521342697
17,3785.0,0.04491413474240423,0.011360634081902245,0.1952443857331572,9105011.531995377,81788.74295583695,80508,985,0.6887714663143989
18,4598.0,0.037625054371465856,0.010221835580687256,0.24293170943888648,9209885.33358426,76114.75482301041,90280,1144,0.6698564593301436
19,7745.809781,0.03989155554244821,0.010198812566218374,0.19493931992802704,13513549.031871857,151778.8237722802,84692.00108,1521.000009,0.6981667948088746
20,4845.0,0.034468524251805986,0.006604747162022704,0.2084623323013416,8412587.20971198,152798.28162118766,103286,2001,0.6710010319917441
21,3390.0,0.027138643067846607,0.01327433628318584,0.09823008849557523,5239695.463468958,91192.33992468097,101836,1250,0.6663716814159292
22,6265.0,0.07597765363128492,0.012130885873902634,0.12226656025538707,33119671.863342732,755963.7791632898,68125,898,0.6892258579409417
23,4017.0,0.09833208862335076,0.01817276574558128,0.0928553647000249,37073967.25015798,341482.8947612261,54750,804,0.7062484441125217
24,7217.358991,0.0820218832592638,0.014701557028313822,0.12260722965332124,29678726.58103448,341220.5473917195,68082.82933,715.0943487,0.7026512637550468
25,4412.0,0.17543064369900271,0.02946509519492294,0.11559383499546691,30888772.752300043,1092168.755521035,48125,774,0.7375339981867634
26,4683.0,0.13837283792440744,0.033952594490711085,0.12662822976724322,36313361.57520133,953778.2348387282,51175,843,0.7093743326927183
27,4145.0,0.11531966224366706,0.012545235223160435,0.05645355850422196,17589576.959730856,292805.9855781493,56078,900,0.7191797346200242
28,5685.0,0.11169744942832015,0.01248900615655233,0.04854881266490765,23046344.372359727,547274.6684729223,55064,833,0.7000879507475813
29,5222.000236,0.1064708578270543,0.037173014922858766,0.11450206483675081,5152304.966025019,155467.66634920973,50162.99873,753.9999936,0.7381826627324573
30,3494.0000229999996,0.1064708595738896,0.037173017099319014,0.11450206590339225,33761065.30441795,1018719.6435498879,50163.00142,754.00001,0.7381826525534628
31,2320.914059,0.11080325120302095,0.035313268008429946,0.23448463668425734,16231696.701098591,403314.8976236215,62866.44507,1146.864791,0.7944958322991483
32,5509.741243,0.10383102050877926,0.035315167286159965,0.2383951051546687,43910456.50704737,1088046.0574101435,63709.03511,1158.846144,0.7981884648542624
33,7165.734184,0.04613033364230637,0.007086286077061103,0.0812838717211339,10680271.10308683,93491.32785147481,74555.99914,944.0000255,0.7177991096131903
34,2405.0,0.06361746361746362,0.09646569646569647,0.06902286902286903,7906799.5488162,108492.46782159443,132867,731,0.7130541871921182
35,6187.986428,0.28740790573692576,0.3631379378649148,0.06211021381057237,28496269.052536245,765113.0778810214,61714.42494,809.3999332,0.7105622859973085
36,6175.701105,0.12496005381076486,0.8173538233437545,0.028283796241139487,36033267.29531895,1704353.9241375362,50111.00056,709.0000138,0.6342281863072776
37,5268.0,0.43621867881548976,0.38857251328777526,0.05011389521640091,18906168.495298453,836206.7690593279,35898,670,0.6694672522436509
