,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.026490066225165566,0.026490066225165566,0.026490066225165566,0.013793103448275862,0.013793103448275862,0.013793103448275862,0.3333333333333333,0.3333333333333333,0.3333333333333333
Logit,0.3333333333333333,0.15094339622641506,0.3333333333333333,0.22758620689655173,0.08275862068965517,0.22758620689655173,0.6226415094339622,0.8571428571428571,0.6226415094339622
RF,0.040540540540540536,0.09032258064516129,0.0522875816993464,0.020689655172413793,0.04827586206896552,0.027586206896551724,1.0,0.7,0.5
SVM,0.040540540540540536,0.0,0.25961538461538464,0.020689655172413793,0.0,0.18620689655172415,1.0,0.0,0.42857142857142855
