,hinc00,medhval00,pop00,medrent00,popden00,per_rent_00,pag25up00,pernwh00,phisp00,percol00,carcommuters_00,pnhblk00,TOD,pasian00,unempden00
Logit_Raw,-9.950892584402977e-06,-2.7572240823852847e-06,-2.7258177135735163e-06,-2.534697287949691e-07,-1.6823904939910204e-08,-6.053021215383885e-10,-4.362001586188447e-10,-3.7245130970276e-10,-2.5194272450483816e-10,-9.956370195426841e-11,-7.03993750636466e-11,-6.015277791755152e-11,-5.705695158353703e-11,-4.957219337971661e-11,8.59032695830777e-09
DT_Raw,0.0,0.0,0.0,0.12005626570013152,0.0,0.5116951020371773,0.05795651808221479,0.019935818839628104,0.0,0.0,0.17994897891388179,0.0,0.0,0.0,0.11040731642696651
RF_Raw,0.0,0.0,0.0,0.12005626570013152,0.0,0.5116951020371773,0.05795651808221479,0.019935818839628104,0.0,0.0,0.17994897891388179,0.0,0.0,0.0,0.11040731642696651
SVM_Raw,-4.687023816576016,2.971798686653372,-3.1536270059448084,1.9831255632680775,1.377161775447243,-6.1305485990271915,-9.150204483938136,-2.2665446914832303,2.304210871220398,-0.22551908128843484,2.449723121712874,2.808504449876976,0.8008925729313233,2.5583135043393863,-0.8041702085910792
Logit_Scaled,-0.5171642295036057,0.34182054376260534,-0.24685238783394398,0.2529838116441304,0.20585603558592114,-1.5297637844247065,-0.9941593450920905,-0.7409998058024803,0.543502601960309,-0.03216794849274335,0.6503881407862376,0.9087242462315338,0.311859465591846,0.34869908161026797,-0.03842770232287212
DT_Scaled,0.0,0.0,0.0,0.12005626570013152,0.0,0.5116951020371773,0.05795651808221479,0.019935818839628104,0.0,0.0,0.17994897891388179,0.0,0.0,0.0,0.11040731642696651
RF_Scaled,0.0,0.0,0.0,0.12005626570013152,0.0,0.5116951020371773,0.05795651808221479,0.019935818839628104,0.0,0.0,0.17994897891388179,0.0,0.0,0.0,0.11040731642696651
SVM_Scaled,-4.687023816576016,2.971798686653372,-3.1536270059448084,1.9831255632680775,1.377161775447243,-6.1305485990271915,-9.150204483938136,-2.2665446914832303,2.304210871220398,-0.22551908128843484,2.449723121712874,2.808504449876976,0.8008925729313233,2.5583135043393863,-0.8041702085910792
Logit_Minmaxed,-4.687023816576016,2.971798686653372,-3.1536270059448084,1.9831255632680775,1.377161775447243,-6.1305485990271915,-9.150204483938136,-2.2665446914832303,2.304210871220398,-0.22551908128843484,2.449723121712874,2.808504449876976,0.8008925729313233,2.5583135043393863,-0.8041702085910792
DT_Minmaxed,0.0,0.0,0.0,0.12005626570013152,0.0,0.5116951020371773,0.05795651808221479,0.019935818839628104,0.0,0.0,0.17994897891388179,0.0,0.0,0.0,0.11040731642696651
RF_Minmaxed,0.0,0.0,0.0,0.12005626570013152,0.0,0.5116951020371773,0.05795651808221479,0.019935818839628104,0.0,0.0,0.17994897891388179,0.0,0.0,0.0,0.11040731642696651
SVM_Minmaxed,-4.687023816576016,2.971798686653372,-3.1536270059448084,1.9831255632680775,1.377161775447243,-6.1305485990271915,-9.150204483938136,-2.2665446914832303,2.304210871220398,-0.22551908128843484,2.449723121712874,2.808504449876976,0.8008925729313233,2.5583135043393863,-0.8041702085910792
