,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7692307692307693,0.7692307692307693,0.7692307692307693
Logit,0.3508771929824562,0.2222222222222222,0.3508771929824562,0.23809523809523808,0.13095238095238096,0.23809523809523808,0.6666666666666666,0.7333333333333333,0.6666666666666666
RF,0.0,0.0898876404494382,0.0689655172413793,0.0,0.047619047619047616,0.03571428571428571,0.0,0.8,1.0
SVM,0.0,0.0,0.0449438202247191,0.0,0.0,0.023809523809523808,0.0,0.0,0.4
