,hinc00,pop00,medrent00,popden00,pag25up00,percol00,carcommuters_00,pasian00,pnhblk00,per_rent_00,pernwh00,phisp00,TOD,unempden00,medhval00
Logit_Raw,-4.7153214647968705e-05,-2.4685821206774463e-06,-4.3876629577395953e-07,-3.1988028843189012e-09,-3.2788965029088523e-10,-2.793281336928756e-10,-2.4778556734546827e-10,-1.4511126394903702e-10,1.421362828804373e-11,2.821158979036506e-11,4.34569424904227e-11,1.5577437223749662e-10,2.1580464618610845e-10,7.179274711181873e-08,2.817955056781958e-06
DT_Raw,0.0,0.0,0.0,0.0,0.0,0.8421016880535236,0.14445104720358187,0.0,0.0,0.0,0.0,0.0,0.0,0.013447264742894491,0.0
RF_Raw,0.0,0.0,0.0,0.0,0.013447264742894491,0.8421016880535236,0.14445104720358187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Raw,6.947539519884815,-2.6966110064558775,-0.9980638062023726,-2.124003362316106,4.8397289815491815,-29.685953701938487,-3.2227417905754727,-8.098881907344472,-6.39464877473416,2.7010042935112724,5.883873814283442,-6.732713195227004,0.5675542330106549,8.306140323073532,2.989411928290826
Logit_Scaled,0.7645668299246183,-0.21066127827525766,-0.12707033850044128,-0.31747950850122636,0.5266091554936695,-4.320975303427858,-0.8554202888072184,-1.100762398271188,-2.0662547348215496,0.6737537506590656,1.9192152232782667,-1.5826112747494112,0.22090015434098279,0.3945971489369985,0.34300370442970035
DT_Scaled,0.0,0.0,0.0,0.0,0.013447264742894491,0.8421016880535236,0.14445104720358187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Scaled,0.0,0.0,0.0,0.0,0.013447264742894491,0.8421016880535236,0.14445104720358187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Scaled,6.947539519884815,-2.6966110064558775,-0.9980638062023726,-2.124003362316106,4.8397289815491815,-29.685953701938487,-3.2227417905754727,-8.098881907344472,-6.39464877473416,2.7010042935112724,5.883873814283442,-6.732713195227004,0.5675542330106549,8.306140323073532,2.989411928290826
Logit_Minmaxed,6.947539519884815,-2.6966110064558775,-0.9980638062023726,-2.124003362316106,4.8397289815491815,-29.685953701938487,-3.2227417905754727,-8.098881907344472,-6.39464877473416,2.7010042935112724,5.883873814283442,-6.732713195227004,0.5675542330106549,8.306140323073532,2.989411928290826
DT_Minmaxed,0.0,0.0,0.0,0.0,0.013447264742894491,0.8421016880535236,0.14445104720358187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Minmaxed,0.0,0.0,0.0,0.0,0.013447264742894491,0.8421016880535236,0.14445104720358187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Minmaxed,6.947539519884815,-2.6966110064558775,-0.9980638062023726,-2.124003362316106,4.8397289815491815,-29.685953701938487,-3.2227417905754727,-8.098881907344472,-6.39464877473416,2.7010042935112724,5.883873814283442,-6.732713195227004,0.5675542330106549,8.306140323073532,2.989411928290826
