,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.41212121212121217,0.4171779141104295,0.41212121212121217,0.3617021276595745,0.3617021276595745,0.3617021276595745,0.4788732394366197,0.4927536231884058,0.4788732394366197
Logit,0.44999999999999996,0.18018018018018017,0.44999999999999996,0.3829787234042553,0.10638297872340426,0.3829787234042553,0.5454545454545454,0.5882352941176471,0.5454545454545454
RF,0.39716312056737585,0.34532374100719415,0.4028776978417266,0.2978723404255319,0.2553191489361702,0.2978723404255319,0.5957446808510638,0.5333333333333333,0.6222222222222222
SVM,0.39716312056737585,0.0,0.31851851851851853,0.2978723404255319,0.0,0.9148936170212766,0.5957446808510638,0.0,0.19282511210762332
