,unempden00,pop00,medhval00,medrent00,popden00,pag25up00,per_rent_00,pernwh00,percol00,phisp00,pasian00,pnhblk00,carcommuters_00,TOD,hinc00
Logit_Raw,-8.961773674521212e-06,-1.3431158641211181e-06,-6.381818659818497e-07,-1.967970768951359e-07,-3.122934187613285e-08,-2.842381478429737e-10,-1.975068666774948e-10,-1.405299780762912e-10,-7.496686554429195e-11,-6.412387640654501e-11,-4.5232752417532075e-11,-2.2203170195427058e-11,-1.536836817948621e-11,1.1323416224029065e-10,3.85386692003758e-06
DT_Raw,0.0,0.0,0.0,0.0,0.0,0.0,0.26486106940014115,0.0,0.0,0.0,0.11255501422839567,0.0,0.0,0.0,0.6225839163714633
RF_Raw,0.0,0.0,0.0,0.0,0.0,0.0,0.26486106940014115,0.0,0.0,0.0,0.11255501422839567,0.0,0.0,0.0,0.6225839163714633
SVM_Raw,-46.06781580286134,-3.452836289847377,-9.756582983096724,2.0634913822796928,-0.2962722463442912,-6.805785050458501,1.3637156591875825,-15.090021903937362,8.375190821924686,16.237135113003777,12.186024002967791,12.938795531996355,8.584036838302627,1.9191715810361456,20.7795875855381
Logit_Scaled,-32.14385413959454,-0.23589268615270767,-1.558561168291159,0.3871215828181268,4.442278292444245,-0.8786986811284763,0.9823340923691424,-5.680804320652516,1.0362563676498127,4.543333482008156,1.9316332185192235,5.519543937233777,2.3622992652481187,0.7930009879672395,2.67316969345377
DT_Scaled,0.0,0.0,0.0,0.0,0.0,0.20344452918034037,0.1663718769437097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301835938759498
RF_Scaled,0.0,0.0,0.0,0.0,0.0,0.0,0.26486106940014115,0.0,0.0,0.0,0.11255501422839567,0.0,0.0,0.0,0.6225839163714633
SVM_Scaled,-46.06781580286134,-3.452836289847377,-9.756582983096724,2.0634913822796928,-0.2962722463442912,-6.805785050458501,1.3637156591875825,-15.090021903937362,8.375190821924686,16.237135113003777,12.186024002967791,12.938795531996355,8.584036838302627,1.9191715810361456,20.7795875855381
Logit_Minmaxed,-46.06781580286134,-3.452836289847377,-9.756582983096724,2.0634913822796928,-0.2962722463442912,-6.805785050458501,1.3637156591875825,-15.090021903937362,8.375190821924686,16.237135113003777,12.186024002967791,12.938795531996355,8.584036838302627,1.9191715810361456,20.7795875855381
DT_Minmaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.26486106940014115,0.0,0.0,0.0,0.11255501422839567,0.0,0.0,0.0,0.6225839163714633
RF_Minmaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.26486106940014115,0.0,0.0,0.0,0.11255501422839567,0.0,0.0,0.0,0.6225839163714633
SVM_Minmaxed,-46.06781580286134,-3.452836289847377,-9.756582983096724,2.0634913822796928,-0.2962722463442912,-6.805785050458501,1.3637156591875825,-15.090021903937362,8.375190821924686,16.237135113003777,12.186024002967791,12.938795531996355,8.584036838302627,1.9191715810361456,20.7795875855381
