,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.797872340425532,0.797872340425532,0.797872340425532,0.6637168141592921,0.6637168141592921,0.6637168141592921,1.0,1.0,1.0
Logit,0.7692307692307693,0.09917355371900827,0.640625,0.7522123893805309,0.05309734513274336,0.7256637168141593,0.7870370370370371,0.75,0.5734265734265734
RF,0.6705882352941176,0.6627218934911243,0.5324675324675325,0.504424778761062,0.49557522123893805,0.36283185840707965,1.0,1.0,1.0
SVM,0.6705882352941176,0.24806201550387597,0.7717391304347826,0.504424778761062,0.1415929203539823,0.6283185840707964,1.0,1.0,1.0
