,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6428571428571429,0.6428571428571429,0.6428571428571429
Logit,0.47619047619047616,0.37499999999999994,0.24999999999999994,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.5,0.6,0.23076923076923078
RF,0.0,0.0,0.3076923076923077,0.0,0.0,0.18181818181818182,0.0,0.0,1.0
SVM,0.0,0.0,0.13333333333333333,0.0,0.0,0.09090909090909091,0.0,0.0,0.25
