,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.21428571428571427,0.21428571428571427,0.21428571428571427
Logit,0.4042553191489362,0.0,0.2962962962962963,0.4318181818181818,0.0,0.45454545454545453,0.38,0.0,0.21978021978021978
RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM,0.0,0.12574850299401197,0.1440677966101695,0.0,0.9545454545454546,0.38636363636363635,0.0,0.0673076923076923,0.08854166666666667
