,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.430939226519337,0.430939226519337,0.430939226519337,0.4148936170212766,0.4148936170212766,0.4148936170212766,0.4482758620689655,0.4482758620689655,0.4482758620689655
Logit,0.42253521126760557,0.13008130081300812,0.41379310344827586,0.4787234042553192,0.0851063829787234,0.5106382978723404,0.37815126050420167,0.27586206896551724,0.34782608695652173
RF,0.18348623853211007,0.2608695652173913,0.23636363636363636,0.10638297872340426,0.1595744680851064,0.13829787234042554,0.6666666666666666,0.7142857142857143,0.8125
SVM,0.18348623853211007,0.16176470588235295,0.46351931330472107,0.10638297872340426,0.11702127659574468,0.574468085106383,0.6666666666666666,0.2619047619047619,0.38848920863309355
