,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled,Minmaxed,Raw,Scaled
DT,0.15126050420168066,0.15,0.15,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.5294117647058824,0.5,0.5
Logit,0.3584905660377358,0.056603773584905655,0.3497757847533632,0.37254901960784315,0.029411764705882353,0.38235294117647056,0.34545454545454546,0.75,0.32231404958677684
RF,0.0,0.0,0.01941747572815534,0.0,0.0,0.00980392156862745,0.0,0.0,1.0
SVM,0.0,0.2018348623853211,0.22110552763819097,0.0,0.43137254901960786,0.43137254901960786,0.0,0.1317365269461078,0.14864864864864866
